time_in_shelter_days,age_upon_outcome_(years),age_upon_outcome_(days)
13,11,4015
2.93,11,4015
63.03,6,2190
0.9,5,1825
3.85,7,2555
0.1,8,2920
0.19,6,2190
13.97,3,1095
1.05,14,5110
4.28,8,2920
0.24,11,4015
0,7,2555
4.03,11,4015
2.21,3,1095
0.04,3,1095
0.1,8,2920
71.12,5,1825
23.83,6,2190
10.11,7,2555
0.3,7,2555
15.03,8,2920
0.06,7,2555
29.92,8,2920
36.14,9,3285
24.98,5,1825
133.82,4,1460
118.06,8,2920
10.29,6,2190
31.23,6,2190
0.75,6,2190
0.05,4,1460
0.34,5,1825
10.11,10,3650
10.84,3,1095
8.96,3,1095
5.95,9,3285
6.75,3,1095
1.94,3,1095
29.08,3,1095
10.39,6,2190
10.84,3,1095
0.96,4,1460
108.16,5,1825
11.83,12,4380
2.06,7,2555
1,5,1825
1.98,4,1460
182.79,5,1825
9.76,8,2920
0.56,7,2555
0.85,7,2555
6.93,5,1825
6.02,5,1825
1.1,5,1825
26.15,5,1825
0.92,5,1825
78.9,6,2190
0.95,4,1460
3.95,10,3650
10.14,8,2920
7.98,7,2555
10.02,7,2555
22.37,4,1460
7.88,4,1460
8.98,2,730
7.13,5,1825
107.87,8,2920
37.08,6,2190
33.98,4,1460
1.91,6,2190
12.9,7,2555
2.16,5,1825
0.96,9,3285
1.28,7,2555
0.24,7,2555
0.12,6,2190
