age_upon_intake_(years),time_in_shelter_days
7,0.040277778
8,10.68263889
9,0.097916667
9,59.01666667
7,0.119444444
9,0.077083333
5,4.107638889
6,1.209722222
12,0.33125
14,0.33125
5,1.050694444
9,2.247222222
8,1.051388889
8,0.748611111
8,3.625694444
8,0.75
8,52.98958333
8,172.5638889
7,1.136111111
12,0.767361111
7,15.78819444
10,0.059027778
7,67.01875
6,7.204861111
6,11.05902778
8,0.949305556
6,0.291666667
8,0.979861111
10,3.249305556
7,2.844444444
6,6.316666667
5,0.997222222
6,4.220138889
6,3.067361111
8,0.848611111
11,36.48055556
10,0.939583333
7,9.911111111
9,0.955555556
20,0.223611111
19,0.102083333
5,22.02430556
6,7.84375
8,4.820833333
6,0.21875
5,2.972222222
7,0.165972222
6,4.013888889
10,0.997222222
5,3.144444444
11,0.159027778
6,2.071527778
10,3.249305556
8,1.995138889
8,4.428472222
12,26.05
5,0.797916667
9,27.16180556
9,0.304166667
7,0.102083333
8,0.263194444
6,0.238194444
9,0.172916667
3,2.023611111
7,6.034027778
6,0.576388889
9,0.290277778
15,17.13611111
8,0.890277778
6,0.984722222
6,0.984722222
8,111.7895833
12,5.781944444
7,0.95625
5,34.11805556
5,39.96041667
8,0.020138889
7,0.785416667
9,0.127083333
7,0.054861111
10,2.336111111
8,0.086111111
11,11.09097222
9,28.04861111
10,0.191666667
6,0.186805556
9,0.055555556
11,3.208333333
11,0.843055556
7,3.208333333
6,42.23333333
7,0.5125
7,1.045833333
7,0.100694444
6,3.261805556
5,0.60625
6,4.241666667
8,0.023611111
6,6.022916667
8,0.246527778
8,15
10,7.900694444
7,3.605555556
7,6.327777778
7,73.93611111
8,354.1909722
8,0.701388889
5,10.06388889
9,10.06111111
7,0.031944444
8,21.91597222
9,4.867361111
7,14.87291667
10,0.19375
11,21.26388889
9,1.876388889
7,6.365972222
6,9.807638889
6,17.92430556
5,1.244444444
7,1.145833333
9,3.002777778
9,26.15
6,53.24861111
6,1.89375
8,0.283333333
6,0.101388889
9,6.153472222
7,9.800694444
8,6.793055556
5,12.84652778
12,0.3
9,61.86319444
7,0.0875
5,77.01736111
9,28.03888889
9,2.116666667
11,2.296527778
7,5.180555556
7,1.129166667
6,1.948611111
8,7.173611111
8,1.716666667
8,13.20902778
8,0.110416667
7,4.322916667
8,7.729166667
8,3.678472222
8,1.234722222
7,1.818055556
7,0.057638889
6,4.052777778
11,0.149305556
10,0.047222222
7,16.95138889
8,27.14444444
9,0.872916667
7,25.88125
7,19.17847222
9,6.826388889
8,57.92986111
5,63.05902778
7,0.195833333
7,66.1125
14,1.170138889
5,12.89513889
8,6.793055556
5,0.720833333
6,2.985416667
6,37.91458333
9,2.178472222
7,0.083333333
6,0.004166667
9,8.952777778
7,1.138194444
5,5.166666667
6,2.254166667
8,1.124305556
5,1.017361111
12,0.308333333
8,9.145833333
4,8.907638889
7,1.242361111
6,9.469444444
9,22.01527778
5,5.948611111
11,14.87916667
5,6.063194444
5,12.95902778
5,2.984027778
6,59.08125
4,5.940277778
8,8.105555556
8,7.2125
9,0.072916667
9,11.12013889
8,1.758333333
8,185.3277778
11,6.009027778
7,18.16666667
5,240.9055556
8,0.007638889
6,0.528472222
4,2.286805556
7,56.23888889
6,5.159722222
8,0.295138889
8,1.247222222
8,5.233333333
10,12.04861111
10,120.2006944
6,16.94722222
8,10.21666667
13,0.011805556
6,2.052083333
9,3.802083333
8,19.18611111
12,6.913194444
8,1.045833333
5,7.047916667
10,6.088194444
7,7.047916667
8,0.018055556
6,12.15902778
7,25.23819444
4,4.116666667
7,0.902777778
5,8.011805556
6,109.1368056
8,280.9583333
7,6.170833333
12,0.0625
6,12.07152778
6,8.091666667
7,0.077777778
6,5.921527778
9,0.048611111
9,0.068055556
8,0.041666667
6,19.71319444
5,22.89861111
5,2.090277778
9,1.179861111
17,0.070833333
9,0.195138889
8,0.059027778
16,0.060416667
6,7.085416667
5,17.675
5,0.319444444
5,2.036111111
5,1.077083333
5,2.036111111
5,1.077083333
15,3.040972222
15,0.293055556
15,0.063194444
8,3.261805556
6,0.033333333
8,2.75625
6,0.864583333
8,37.02569444
7,0.107638889
7,2.859722222
6,65.12083333
4,15.71319444
10,63.16527778
6,1.259722222
5,1.113888889
6,7.070138889
6,0.098611111
5,22.12638889
10,10.70833333
10,1.234722222
7,211.9479167
7,164.1013889
6,7.010416667
9,6.9875
8,7.15625
10,270.6194444
9,3.729166667
5,7.130555556
5,7.134027778
10,4.298611111
5,2.225694444
9,16.97847222
4,8.088194444
4,9.047222222
4,1.89375
4,7.209027778
11,0.2125
9,1.011805556
11,0.699305556
7,0.132638889
6,0.165277778
7,12.08402778
13,1.385416667
10,4.043055556
11,0.092361111
8,15.14097222
9,0.620833333
11,7.009027778
8,1.131944444
8,90.19444444
5,4.784027778
8,5.952777778
8,0.193055556
9,7.232638889
6,1.920138889
5,0.150694444
7,0.06875
7,2
9,25.37569444
5,0.345833333
6,241.7819444
5,202.9840278
11,1.158333333
9,0.243055556
6,1.0125
4,3.141666667
6,48.225
5,7.117361111
7,5.888194444
7,165.2152778
7,0.983333333
7,5.040972222
7,0.984027778
8,6.946527778
8,0.206944444
6,3.475
7,13.65069444
7,0.217361111
6,1
7,40.09444444
6,0.984722222
6,0.689583333
6,0.476388889
5,1.013194444
14,4.949305556
9,24.07013889
8,10.95138889
6,10.74791667
4,4.877777778
11,1.297222222
5,14.77291667
8,300.9388889
6,0.352083333
6,4.063194444
9,25.85
9,4.652777778
8,0.206944444
9,0.054166667
10,1.236111111
6,5.659722222
7,1.148611111
